d,d,d,e,e,s,d,r,r,2,r,r,2,2,!,!,d,r,r,r
d,d,d,e,e,s,3,r,d,d,d,d,t,d,d,d,d,d,r,r
2,r,r,r,2,s,r,d,d,d,d,d,r,d,d,d,3,d,d,r
d,d,d,d,d,v,d,d,d,d,d,r,d,r,d,d,d,d,d,d
[,>,>,>,>,e,e,e,e,e,e,[,>,>,>,>,>,>,e,d
d,s,d,d,d,r,r,r,r,r,r,r,r,r,r,r,d,d,e,d
d,s,d,d,<,<,<,<,<,<,<,<,<,<,<,],d,!,e,d
d,s,1,d,d,d,d,r,[,?,>,e,r,d,!,d,d,d,e,d
d,s,d,d,d,d,d,r,s,5,5,e,r,d,!,d,d,!,e,d
d,s,!,d,d,d,d,r,v,<,<,],r,d,d,d,d,4,e,d
d,s,1,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,e,d
d,s,d,d,2,d,!,2,d,d,3,d,!,3,d,d,4,d,e,d
d,v,e,e,e,e,<,<,<,<,<,<,<,<,<,<,<,<,<,]
t,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
d,e,d,d,d,d,d,e,r,r,r,r,e,e,r,r,d,d,d,d
d,s,d,d,d,d,d,d,1,1,1,1,e,e,t,r,e,e,d,d
r,s,r,r,r,r,r,r,r,!,!,r,r,r,r,r,r,s,r,r
d,s,!,d,d,d,d,r,d,d,d,!,d,d,d,d,d,s,1,d
d,s,!,d,d,d,d,r,d,d,d,d,!,!,!,!,d,s,2,d
d,s,r,!,d,d,d,r,d,d,r,d,d,d,d,!,d,s,3,d
d,s,e,!,d,r,r,1,3,3,1,r,d,d,!,t,d,s,4,d
d,v,s,!,r,1,2,d,d,d,d,2,r,d,d,!,d,s,5,d
d,r,s,!,r,1,3,d,d,d,d,d,3,r,!,e,!,s,*,d
d,d,s,!,d,r,r,4,e,e,d,4,r,d,!,e,!,s,1,d
d,d,s,!,d,d,r,5,d,d,5,r,d,d,!,e,!,s,2,d
d,d,s,!,d,d,r,r,d,d,r,d,e,e,e,e,!,s,3,d
d,d,s,!,d,d,d,d,r,2,r,d,e,e,e,e,!,s,4,d
d,d,s,d,!,d,d,d,r,d,d,r,e,e,e,e,!,s,*,d
d,d,v,!,d,d,d,d,*,*,*,*,e,e,e,e,!,s,1,d
d,d,r,d,d,!,!,!,!,!,!,!,!,!,!,!,!,s,1,d
1,r,4,r,*,d,e,<,<,<,<,<,<,<,<,],e,s,d,2
d,2,d,5,d,d,e,1,d,4,*,1,*,5,*,5,s,s,3,d
r,d,3,d,5,r,e,*,[,>,>,>,>,>,e,*,s,s,d,4
d,e,e,<,<,<,],2,s,2,*,4,*,2,e,3,s,s,5,d
d,e,r,d,5,d,1,r,s,*,3,*,3,*,e,*,v,s,d,1
d,e,d,4,*,*,*,4,s,d,*,4,*,2,e,4,e,s,2,d
1,[,>,>,>,>,>,>,v,d,e,e,e,e,e,e,e,v,d,3
d,*,d,d,d,*,d,d,d,1,d,d,d,*,d,*,d,r,4,d
